town,riverName,station,typicalRangeHigh,lat,typicalRangeLow,lon,label
,,F3904,unknown,54.56411206542801,unknown,-1.2870159692503818,Tees Barrage
,,L2400,unknown,53.74958288094198,unknown,-0.969265195827269,Barmby
,,E21606,unknown,52.13373256856539,unknown,-0.4600421818439439,BEDFORD GS
,,E21648,unknown,52.14456074991855,unknown,-0.31679597688223743,BLUNHAM GS
,,E6381,unknown,50.98963227795901,unknown,0.7550498324416225,SCOTS FLOAT SLUICE RL
,,L0508,unknown,53.514846900753994,unknown,-1.5905506402740113,Oxspring Bower Hill
,,E22596,unknown,52.134212609450316,unknown,-0.46237801972145176,BEDFORD GS
,,6303,unknown,52.423104169552424,unknown,-1.431916175126268,High Bridge LVL
,,F3507,unknown,54.65392968429734,unknown,-2.291343635549812,Cow Green Reservoir
,,L0317,unknown,53.330170205477884,unknown,-1.3225086328736615,Rother Valley Lake
,,4206,unknown,52.4352329936946,unknown,-1.9135028097348477,Selly Park LVL
,,L2808,unknown,54.08195724123813,unknown,-0.8768680790928526,Kirkham Sluices
,,E6380,unknown,50.98963227795901,unknown,0.7550498324416225,SCOTS FLOAT SLUICE RL
,,2627,unknown,52.35267175477708,unknown,-1.567041069111345,Kenilworth LVL
,,L0716,unknown,53.4758424951866,unknown,-1.2993539371359122,Kilnhurst Lower
,,TQ26_143BU,unknown,,unknown,,Beddington STW Upper Sands OBH
,,E16201,unknown,,unknown,,RIVERHEAD GWL
,,TQ26_143A,unknown,,unknown,,Beddington STW Chalk OBH
,,E3006,unknown,52.72044630310401,unknown,-0.3639453021733345,KATES BRIDGE GS BASTON
,,E87030,unknown,52.740492561506386,unknown,0.3872033182145488,FREEBRIDGE TS KINGS LYNN
,,E2044,unknown,52.84599138898452,unknown,-0.10084790891535453,SURFLEET SLUICE
,,2854TH,unknown,51.549594944680635,unknown,-0.4812153773474419,Braybourne Close
,,E14710,unknown,50.70256757081951,unknown,-1.2968719405482794,HUNNY HILL RL
,,E19006,unknown,,unknown,,ASHDON BOREHOLE PLUVIO RG GSM
,,023020,unknown,54.97625301305218,unknown,-2.0951839440895,Hexham
,,023002,unknown,54.85199412511794,unknown,-1.9366645071817983,Eddys Bridge
,,E2721,unknown,52.2644876264702,unknown,-0.7178178546474752,HARDWATER MILL SLUICE GREAT DODDINGTON
,,023055,unknown,55.17770137187703,unknown,-2.461264654399971,Kielder Reservoir
,,5291TH,unknown,51.76431953108114,unknown,0.014322433519140561,Feildes Weir
,,2869TH,unknown,51.46275901979476,unknown,-0.5114511874132829,Stanwell Gate 2 (Airport Way)
,,E21891,unknown,51.7266728278118,unknown,0.5150859670697654,SANDFORD MILL SLUICE CHELMSFORD
,,2202SO,unknown,,unknown,,DITCHLING ROAD GWL
,,0328TH,unknown,51.56137241833491,unknown,-0.38084560951920826,Field End Road FD
,,E2587,unknown,52.69167437439687,unknown,-0.398017887754464,GREATFORD SLUICE
,,E24075,unknown,51.73001409055433,unknown,0.48485854907204645,CHELMSFORD GATES SLUICE
,,E23350,unknown,,unknown,,EYE RRB
,,E8750,unknown,,unknown,,LADIES MILE GWL
,,E23278,unknown,52.18097330519477,unknown,1.0073244279491815,STOWMARKET GS
,,E22025,unknown,52.089353573260084,unknown,-0.7220114244276005,NEWPORT PAGNELL GS
,,4388TH,unknown,51.45813126095824,unknown,0.014948316233504398,Weigall Road FD
,,L1741,unknown,53.74096361925696,unknown,-1.3687595419262018,Mickletown Ings
,,E21441,unknown,52.089353573260084,unknown,-0.7220114244276005,NEWPORT PAGNELL GS
,,E1941,unknown,52.2892502839436,unknown,-0.6804487952048822,WELLINGBOROUGH EMBANKMENT GS
,,F1702,unknown,53.74848840677077,unknown,-1.4226009459812878,Oulton Lemonroyd
,,L1816,unknown,53.721658602118055,unknown,-1.2098492470653859,West Holme Washlands
,,L1431,unknown,53.80827102153932,unknown,-1.9495396645666614,Oxenhope
,,E3223,unknown,,unknown,,SITTINGBOURNE GWL
,,51101,unknown,51.202027017104626,unknown,-3.597033385770473,PORLOCK RL
,,023060,unknown,54.854557562948855,unknown,-1.9646660345151918,Derwent Reservoir
,,4175TH,unknown,51.40226728860175,unknown,-0.18763869071723058,River Wandle at Morden Hall
,,E4478,unknown,52.1964143470599,unknown,-0.7417240295386204,YARDLEY HASTINGS FSR
,,E11190,unknown,,unknown,,CHILGROVE HOUSE GWL
,,E21412,unknown,52.131205701158684,unknown,0.20523111657518442,BABRAHAM GS
,,E1949,unknown,52.23834267226645,unknown,-0.7112489174839954,GRENDON GS
,,E21404,unknown,52.059596415073315,unknown,-0.7058384727394853,BROUGHTON BROOK GS MILTON KEYNES
,,E27541,unknown,52.19689567921077,unknown,-0.8919723042064511,WOOTTON BROOK GS NORTHAMPTON
,,4151TH,unknown,51.370858441119786,unknown,-0.1515244669705738,River Wandle at Beddington Park FD
,,E24817,unknown,51.946877025776026,unknown,-0.2772965080021446,HITCHIN GS
,,E21722,unknown,52.15156526112811,unknown,0.0671614741910396,HASLINGFIELD BURNT MILL GS
,,E1204,unknown,52.22889896642944,unknown,-1.1104461565444363,WEEDON FSR
,,E22346,unknown,52.02674918998026,unknown,-0.2668240395984355,ARLESEY GS
,,E2779,unknown,52.22723637837457,unknown,-0.951684563113444,UPTON BYPASS GS NORTHANTS
,,E1935,unknown,52.27125868133118,unknown,-0.9221710069043487,GELDHARTS MILL GS NORTHAMPTON
,,E26181,unknown,52.36548113684192,unknown,-0.42144672667465244,ELLINGTON BROOK GS GSM
,,4173TH,unknown,51.39833833516689,unknown,-0.18362501025904607,River Wandle at Ravensbury Mill
,,E2065,unknown,52.254904400459026,unknown,-0.9290573956897991,DALLINGTON FSR NORTHAMPTON
,,E21830,unknown,52.093281290282015,unknown,0.29264886534380785,LINTON NO 2 GS
,,1817SO,unknown,50.87059696622157,unknown,0.5486374760497618,STONEHOUSE DRIVE RL
,,4188TH,unknown,51.42202443530554,unknown,-0.17434381396865567,Graveney at Robinson Road
,,E1825,unknown,52.23354200293983,unknown,-1.0598939999451895,FLORE HILL GS
,,E2663,unknown,52.33197344790069,unknown,-0.6819662849508967,GREAT HARROWDEN GS
,,E26151,unknown,51.9830382770847,unknown,-0.7654762379410233,WATER EATON BROOK GS BLETCHLEY
,,E1311,unknown,52.493885953242646,unknown,-0.6492916038205361,WILLOW BROOK FSR WELDON
,,E4481,unknown,52.19188902800762,unknown,-0.7389258656787403,YARDLEY HASTINGS EAST FSR GSM
,,4177TH,unknown,51.41336007894779,unknown,-0.18389252587830057,River Wandle at Merton Abbey
,,E4480,unknown,52.20090844058484,unknown,-0.7415971207222867,YARDLEY HASTINGS WEST FSR GSM
,,E4819,unknown,52.21898049851763,unknown,-0.6678936584204551,BOZEAT FSR
,,4171TH,unknown,51.3948052760547,unknown,-0.17039648567606314,River Wandle at Watermeads
,,4171TH,unknown,51.3948052760547,unknown,-0.17039648567606314,River Wandle at Watermeads
,,E1366,unknown,52.21116469082019,unknown,-0.7764335552659283,DENTON FSR
,,E1633,unknown,52.45839233539959,unknown,-0.6121112358644241,BRIGSTOCK GS
,,E21509,unknown,51.612285450554715,unknown,0.5232008560678187,WILLEN GS
,,E21501,unknown,51.98078996612981,unknown,-0.7158132080074798,WATERHALL BLETCHLEY FGS
,,E24518,unknown,52.13178325662025,unknown,-0.9620489655925594,CAPPENHAM GS
,,E4800,unknown,52.423254179612,unknown,-0.9543949930506807,CLIPSTON FSR
,,E6652,unknown,51.010936681041784,unknown,0.44450828591203423,ETCHINGHAM RL
,,E22353,unknown,52.040478543943394,unknown,-0.33536229883433166,SHEFFORD GS
,,2857TH,unknown,51.52613649427057,unknown,-0.4883244121191897,Old Mill House Penstock
,,E19862,unknown,52.66825640056238,unknown,1.2182121133122092,COSTESSEY MILL SLUICE
,,E27081,unknown,,unknown,,DUNGATE FARM BOREHOLE GSM FULBOURN
,,E2835,unknown,52.683991885057075,unknown,-0.4614697396335003,BELMESTHORPE GS GSM
,,E14111,unknown,50.91126291299342,unknown,-1.4814879033218875,ELING TIDE MILL TL
,,E1097,unknown,52.22977572005493,unknown,-0.934054605195693,DUSTON MILL GS NORTHAMPTON
,,E14110,unknown,50.91126291299342,unknown,-1.4814879033218875,ELING RL
,,E2154,unknown,53.37958943207712,unknown,-0.3072163854261599,RASE SOUTH BRANCH FSR MKT RASEN
,,E19866,unknown,52.66825640056238,unknown,1.2182121133122092,COSTESSEY MILL SLUICE
,,E2162,unknown,53.37958943207712,unknown,-0.3072163854261599,RASE SOUTH BRANCH FSR MKT RASEN
,,E3055,unknown,52.68174557356191,unknown,-0.36095388509537196,KING STREET GS STOWE
,,SJ46_096,unknown,,unknown,,Hatton Heath Obs
,,E4829,unknown,52.66855671587469,unknown,-0.7548252217268829,OAKHAM FSR
,,4641TH,unknown,51.85148599817104,unknown,-0.3761027371521814,Luton East Hyde
,,3803TH,unknown,51.62719464730729,unknown,-0.28706326009782485,Bury Farm FSA FD
,,E27501,unknown,52.47621663670398,unknown,-0.9636233539663518,LUBENHAM GS
,,E1523,unknown,52.539735566570236,unknown,-0.7438310668569046,EYE BROOK RESERVOIR CALDECOTT
,,E27521,unknown,52.59990002857728,unknown,-0.2446278672716277,PASTON BROOK GS PETERBOROUGH
,,E24845,unknown,51.5944417678963,unknown,0.4312453296706952,NOAK BRIDGE LS GSM
,,E2992,unknown,53.2103487770833,unknown,-0.1162208620555967,VICTORIA MILL HORNCASTLE GS
,,E4835,unknown,52.667118669208115,unknown,0.15907383995277216,WISBECH TIDAL
,,E3043,unknown,52.683991885057075,unknown,-0.4614697396335003,BELMESTHORPE GS GSM
,,E27101,unknown,,unknown,,NEW ENGLAND BOREHOLE GSM
,,E21022,unknown,52.20269335351462,unknown,1.4918502572499013,BENHALL BRIDGE GS
,,E1451,unknown,53.27587215472745,unknown,-0.636766577353753,TILL WASHLAND CONTROL SAXILBY
,,E12760,unknown,,unknown,,HARESTOCK GWL
Girton,Washpit Brook,E47050,unknown,52.243719,unknown,0.07758,Girton
,,E2775,unknown,52.68174557356191,unknown,-0.36095388509537196,KING STREET GS STOWE
,,5323TH,unknown,51.683746562957296,unknown,-0.0109266836934512,Rammey Marsh Sluices
,,E22698,unknown,52.00313054861295,unknown,0.8904647467752507,POLSTEAD FGS GSM
,,E2089,unknown,52.76537557258192,unknown,-0.3622617019368289,MAYS SLUICE BOURNE
,,E4420,unknown,51.13054792630061,unknown,0.8792175111299355,SOUTH WILLESBOROUGH GS
,,E22211,unknown,52.47109874670451,unknown,1.479203984334136,ELLINGHAM SLUICE
,,E22173,unknown,52.47109874670451,unknown,1.479203984334136,ELLINGHAM SLUICE
,,3695TH,unknown,51.463985709031334,unknown,-0.34025695609419454,Mogden GS
,,2265,unknown,52.66435787088056,unknown,-2.905911393450978,Farley Bridge LVL
,,E4752,unknown,,unknown,,Parsonage Farm GWL
,,E21470,unknown,,unknown,,SNAILWELL BOREHOLE GSM
,,E21194,unknown,51.72736099772505,unknown,0.43982063489933765,WRITTLE GS GSM
,,5321TH,unknown,51.6972740851555,unknown,-0.013227679090089877,David Stoker Radial Gates
,,SJ45_102,unknown,,unknown,,Handley BH
,,43171,unknown,,unknown,,CHITTERNE DOWN
,,E22890,unknown,51.73772598528121,unknown,0.4469261324170735,BEACHES MILL FGS GSM
,,SJ56_45E,unknown,,unknown,,Ashton OBH No 4
,,E23028,unknown,52.17248845690214,unknown,1.4485209897229965,BEVERSHAM GS
,,SJ45_049,unknown,,unknown,,Chowley Oak
,,43168,unknown,,unknown,,CLARENDON GW
,,E4476,unknown,,unknown,,LEASINGHAM BOREHOLE
,,E26951,unknown,52.05436814325837,unknown,1.1374037468674045,HANDFORD SLUICE IPSWICH
,,E24207,unknown,51.76705321493117,unknown,0.5608135722454723,CRABBS BRIDGE GS HATFIELD PEVEREL GSM
,,SD54_31,unknown,,unknown,,Stanzaker Hall Lane
,,E24861,unknown,51.784002747672766,unknown,1.157751489363125,CLACTON PIER TS
,,E21726,unknown,52.77921262128783,unknown,0.9619970667098334,BINTREE MILL SLUICE GUIST
,,E21971,unknown,51.553032106055156,unknown,0.6410997219268061,PRITTLEWELL BROOK GS SOUTHEND
,,E24822,unknown,52.20103625663335,unknown,1.547346910726308,KNODISHALL LS
,,E22063,unknown,52.58179593741064,unknown,1.0878526792203063,WYMONDHAM NORTH GS
,,E23341,unknown,,unknown,,WICKHAM SKEITH RRB
,,E22918,unknown,51.56741817696721,unknown,0.6808973120794587,EASTWOOD SOUTHEND GS
,,SJ79_91,unknown,,unknown,,Chat Moss
,,E22044,unknown,52.6132133118308,unknown,1.3118931249482144,TROWSE MILL SLUICE
,,NY00_292,unknown,,unknown,,Moor House Farm
,,E24093,unknown,51.89134174402308,unknown,0.9152308336978936,EAST MILL SLUICE COLCHESTER
,,E24001,unknown,52.87602650842955,unknown,1.4104744383092112,MUNDESLEY GS
,,NY54_55,unknown,,unknown,,Renwick BH
,,E1488,unknown,53.20848092608955,unknown,-0.11181033027337813,HORNCASTLE BANKS ROAD GS
,,E1407,unknown,53.22874344931652,unknown,-0.5289028260658735,STAMP END SLUICE LINCOLN
,,NY00_294,unknown,,unknown,,High Broad Leys
,,NY54_56,unknown,,unknown,,Baronwood
,,E23361,unknown,52.455936316397185,unknown,1.4441446254462493,BUNGAY SLUICE
,,E1492,unknown,53.231805104651635,unknown,-0.5587620980685092,FOSSDYKE C BWB JETTY GS LINCOLN
,,E21791,unknown,52.33651025846557,unknown,1.5288222455306721,HALESWORTH GS
,,E24816,unknown,52.60667332962735,unknown,1.7233830297109054,HAVEN BRIDGE GREAT YARMOUTH TS
,,E4473,unknown,,unknown,,GRANGE FM ASWARBY BOREHOLE
,,NX91_128,unknown,,unknown,,Rottington Trial BH
,,E22564,unknown,52.08066601285175,unknown,0.7246644189612922,LONG MELFORD FGS
,,43166,unknown,,unknown,,HAZELBERRY PLANTATION GW
,,E23265,unknown,52.54690154194597,unknown,1.2816080422562877,SHOTESHAM GS
,,SJ46_109,unknown,,unknown,,Queens Park High School
,,SJ54_102,unknown,,unknown,,Gro Pot P3
,,SJ69_46,unknown,,unknown,,Winwick Park
,,E45951,unknown,51.73772598528121,unknown,0.4469261324170735,BEACHES MILL SECONDARY GS GSM
,,E24813,unknown,52.34752258274453,unknown,1.4606712806949247,CHEDISTON LS
,,E1449,unknown,53.27587215472745,unknown,-0.636766577353753,TILL WASHLAND CONTROL SAXILBY
,,E23534,unknown,51.746754021429595,unknown,0.6248608241491852,ULTING FGS AND RAINGAUGE
,,E4898,unknown,,unknown,,GRANGE DE LINGS BOREHOLE
,,E23081,unknown,52.65597104763541,unknown,1.2069565300183713,COSTESSEY PARK GS
,,E23073,unknown,52.62766611548293,unknown,1.2226207230875532,COLNEY FGS
,,E1254,unknown,52.65595027853168,unknown,-0.38113900575194565,WEST DEEPING GS
,,E21621,unknown,52.6330613119027,unknown,1.288056988113241,NEW MILLS NORWICH SLUICE
,,43167,unknown,,unknown,,QUEEN MANOR FARM GW
,,E23223,unknown,52.382532546018275,unknown,1.2738051830930346,NEEDHAM WEIR GS GSM
,,E1657,unknown,52.85686259216629,unknown,-0.6291388300645979,CRINGLE BROOK GS GREAT PONTON
,,E6198,unknown,,unknown,,RAITHBY BOREHOLE
,,NY53_51,unknown,,unknown,,BGS EV2
,,E1658,unknown,52.85686259216629,unknown,-0.6291388300645979,CRINGLE BROOK GS GREAT PONTON
Oakington,Beck Brook,E47041,unknown,52.255096,unknown,0.055885,Oakington
,,E3026,unknown,53.297799342953695,unknown,-0.13188237832867092,GOULCEBY R BAIN GS
,,E3057,unknown,53.02113732452702,unknown,-0.3791005413726445,LEASINGHAM MILL R SLEA GS
,,E2886,unknown,53.148212880569474,unknown,-0.41801270869977114,DUNSTON BECK GS
,,E21985,unknown,52.09385692957182,unknown,0.41597249475344894,HAVERHILL WASHLANDS GS
,,NY71_3,unknown,,unknown,,Great Musgrave
,,E2812,unknown,53.12972153117985,unknown,-0.5920729564490452,SAND SYKE PS WITHAM WASHLANDS
,,E21854,unknown,52.13716198329447,unknown,1.2353056351061573,CLOPTON GS
,,E21158,unknown,52.79068986633787,unknown,1.4559677836322829,HONING LOCK GS
,,E4821,unknown,52.21068720856543,unknown,-1.0135430651181352,BUGBROOKE GS
,,E2813,unknown,53.12972153117985,unknown,-0.5920729564490452,SAND SYKE PS WITHAM WASHLANDS
,,E46041,unknown,52.361622279424225,unknown,1.4705889142733344,WISSETT LS
,,E22519,unknown,52.04899192772805,unknown,0.4620761404413865,BROAD GREEN GS
,,E27675,unknown,51.64551975734913,unknown,0.39639420243366336,WARDROPERS LS GSM BILLERICAY
,,E22720,unknown,51.979882842154,unknown,0.9574186200194438,HIGHAM RGS
,,SJ45_173,unknown,,unknown,,Lea Hall GS Drift Obs
,,E37212,unknown,52.62085993906406,unknown,1.3063528011860475,CARROW BRIDGE TS NORWICH
,,E4486,unknown,52.46043862138953,unknown,-0.7136052379061663,GREAT OAKLEY FSR NORTHANTS
,,43172,unknown,,unknown,,OAKLEY INDUSTRIAL ESTATE BH
,,E23169,unknown,52.33736375589244,unknown,1.5303586337176869,HOLTON GS
,,E4489,unknown,52.36316191111561,unknown,-0.6973401227101041,WEETABIX GS BURTON LATIMER
,,E24836,unknown,52.38529135314782,unknown,1.669424795783966,WRENTHAM GS
,,SJ58_187,unknown,,unknown,,Runcorn Hill
,,E24077,unknown,51.89134174402308,unknown,0.9152308336978936,EAST MILL SLUICE COLCHESTER
,,NY34_6,unknown,,unknown,,East Curthwaite
,,SD17_5,unknown,,unknown,,Ormsgill OBH
,,E21332,unknown,51.98998514921936,unknown,0.394353549393384,GREAT SAMPFORD FGS AND RAINGAUGE
,,E2158,unknown,53.37958943207712,unknown,-0.3072163854261599,RASE SOUTH BRANCH FSR MKT RASEN
,,E46021,unknown,52.20103625663335,unknown,1.547346910726308,KNODISHALL LS
,,E23249,unknown,52.0832649895359,unknown,1.2328631384709121,PLAYFORD GS
,,E21011,unknown,52.713553004403636,unknown,0.9255893961562423,GRESSENHALL SLUICE
,,E21865,unknown,52.69955922218982,unknown,1.3129242992170227,SPIXWORTH GS
,,E5310,unknown,53.50792368231961,unknown,0.04054741397043037,TETNEY OUTFALL GSM
,,E1255,unknown,52.65595027853168,unknown,-0.38113900575194565,LOLHAM GS
,,SD70_252,unknown,,unknown,,Clifton Junction
,,SJ55_41,unknown,,unknown,,Ford Lane
,,44238,unknown,,unknown,,BLACK HOUSE GW
,,E4902,unknown,53.22089480786293,unknown,-0.5486435831090991,GREAT GOWT SLUICE LINCOLN
,,E27472,unknown,52.458300050366624,unknown,1.4571389082033368,WAINFORD SLUICE
,,E4900,unknown,53.22089480786293,unknown,-0.5486435831090991,GREAT GOWT SLUICE LINCOLN
,,E27511,unknown,53.30367285878432,unknown,-0.48448835061231044,WELTON BECK GS
,,NY14_46,unknown,,unknown,,Storth Brow OBH
,,E22552,unknown,52.09234100240685,unknown,0.693284891067047,GLEMSFORD FGS GSM
,,NY14_45,unknown,,unknown,,High Scales OBH No 1
,,44243,unknown,,unknown,,BANK BARROW GW
,,E23069,unknown,52.62766611548293,unknown,1.2226207230875532,COLNEY FGS
,,NY52_25,unknown,,unknown,,Cliburn Town Bridge OBH 1
,,E2993,unknown,52.64221038893926,unknown,-0.4984079779733725,TINWELL GS
,,43173,unknown,,unknown,,MUSSELDEAN COPSE GW
,,SJ69_138,unknown,,unknown,,Kenyon Lane
,,E23308,unknown,,unknown,,THORNDON RRB
,,NY53_9,unknown,,unknown,,East Brownrigg
,,44240,unknown,,unknown,,DELCOMBE WOOD GW
,,E23235,unknown,52.348797349175115,unknown,1.1920034682774692,OAKLEY GS GSM
,,43174,unknown,,unknown,,CLEARBURY DOWN GW
,,SD09_12,unknown,,unknown,,Hall Carleton Farm Saltcoats S-Ston
,,E4896,unknown,,unknown,,GRAINSBY BOREHOLE
,,E22018,unknown,52.59781404983439,unknown,1.26178299736572,KESWICK MILL SLUICE GSM
,,E21581,unknown,52.64770476659647,unknown,1.2462748700089916,HELLESDON MILL SLUICE NORWICH
,,E25952,unknown,52.0598319738549,unknown,1.1348687003098201,HORSESHOE SLUICE IPSWICH
,,E19039,unknown,,unknown,,EAGLE LANE DULLINGHAM BOREHOLE GSM
,,NY63_2,unknown,,unknown,,Skirwith
,,E40135,unknown,53.22257528530553,unknown,-0.5404981719242017,MONSON STREET LINCOLN GS
,,E23056,unknown,52.950940476496115,unknown,0.7403905828613022,BURNHAM GS NORFOLK
,,NY00_321,unknown,,unknown,,Sella Park
,,E25767,unknown,52.15942786127675,unknown,1.3714630554898548,GLEVERING MILL SLUICE WICKHAM MARKET
,,NY71_23,unknown,,unknown,,Coupland
,,E24068,unknown,51.754121661103106,unknown,0.6571671647203403,LANGFORD GS
,,NY00_328,unknown,,unknown,,Brown Bank Layby
,,E22834,unknown,51.80137931387148,unknown,0.6352864210938861,GUITHAVON VALLEY FGS WITHAM
,,SD52_17A,unknown,,unknown,,BAE Systems
,,E4874,unknown,,unknown,,BURNHAM HUMBERSIDE BOREHOLE
,,E21623,unknown,52.6330613119027,unknown,1.288056988113241,NEW MILLS NORWICH SLUICE
,,SD52_77,unknown,,unknown,,Lutra House
,,E24804,unknown,52.62557424474531,unknown,1.064334282956787,BARNHAM BROOM GS
,,E22369,unknown,52.188404415654865,unknown,0.9624653975849291,BURFORD BRIDGE SLUICE STOWMARKET
,,43169,unknown,,unknown,,THE TERRACES GW
,,E22024,unknown,52.27658669021651,unknown,1.45660373308068,SIBTON GS
,,E26981,unknown,53.21261109375387,unknown,-0.4435858689396039,HAWKS MILL SLUICE NEEDHAM MARKET
,,E42895,unknown,52.76970019545972,unknown,1.479260684591515,WAYFORD BRIDGE TS STALHAM
,,E21773,unknown,52.60633764417853,unknown,1.2461668826597077,CRINGLEFORD SLUICE
,,E23218,unknown,52.12953477652874,unknown,1.3901320057641258,NAUNTON GS RENDLESHAM
,,E1491,unknown,53.26702578457622,unknown,0.1966819339045121,BILSBY GS
,,E22476,unknown,51.98998514921936,unknown,0.394353549393384,GREAT SAMPFORD FGS AND RAINGAUGE
,,E24808,unknown,52.31014263574265,unknown,1.5202511846395403,BRAMFIELD GS
,,NY52_2H,unknown,,unknown,,Cliburn BH
,,E22570,unknown,52.04647322775169,unknown,0.6934420340927616,BARDFIELD BRIDGE FGS
,,E4418,unknown,52.72076976429164,unknown,-0.14183002725081975,FOUR MILE BAR GS COWBIT
,,E45688,unknown,52.15156526112811,unknown,0.0671614741910396,HASLINGFIELD BURNT MILL NUMBER 2 GS GSM
,,E22571,unknown,52.04711020033373,unknown,0.6931157187059208,BARDFIELD BRIDGE FGS
,,E21858,unknown,52.882726926794824,unknown,1.066095441034635,HUNWORTH GS
,,E23316,unknown,52.93473984566952,unknown,0.8915735738460565,WARHAM SDI12 SONTEK GSM
,,NY54_10,unknown,,unknown,,AINSTABLE NORTH CUMB
,,E1056,unknown,53.29173731485962,unknown,0.12292612762450117,CLAYTHORPE GREAT EAU GS
,,NY52_26,unknown,,unknown,,Cliburn Town Bridge 2
,,E21322,unknown,52.188404415654865,unknown,0.9624653975849291,BURFORD BRIDGE SLUICE STOWMARKET
,,E22505,unknown,52.077008339116645,unknown,0.4909533512574321,KEDINGTON FGS
,,E21738,unknown,52.17495013497859,unknown,1.331675431229744,LETHERINGHAM MILL SLUICE
,,E3041,unknown,52.9493797474411,unknown,-0.7021245550173929,ALLINGTON GS
,,E23214,unknown,52.25546315788027,unknown,1.561952172785545,MIDDLETON GS
,,SJ79_34A,unknown,,unknown,,Akzo Noble
,,9203SE,unknown,,unknown,,Ray Farm OBH
,,E4882,unknown,53.42848238584765,unknown,0.013829952881610605,COVENHAM ST MARY GS
,,2847,unknown,,unknown,,Plex ABH
,,E1597,unknown,53.1579905228186,unknown,0.21782516387355447,BRATOFT ROAD BRIDGE GS
,,26107,unknown,,unknown,,Helshaw ABH
,,26106,unknown,,unknown,,Ellerdine ABH
,,26105,unknown,,unknown,,Childs Ercall ABH
,,E4928,unknown,53.169801652829534,unknown,0.15430635586523084,LADY WATHS BECK GS GREAT STEEPING
,,2876B,unknown,,unknown,,Hardwicke ABH
,,ST99_99,unknown,,unknown,,Sandpool Lane OBH
,,021041,unknown,55.59822660216098,unknown,-1.8301330180593682,Belford
,,E4912,unknown,53.489024731911634,unknown,-0.1732312188128983,HATCLIFFE GS
,,45174_,unknown,,unknown,,BURROW BH
,,E11600,unknown,,unknown,,CHALTON GWL
,,SU38_73B,unknown,,unknown,,Upper Lambourn OBH
,,2891W,unknown,,unknown,,Espley Farm ABH
,,SU37_63,unknown,,unknown,,NORTHFIELD FARM OBH
Hull,River Hull,L3230,unknown,53.751865,unknown,-0.333266,"Hull High Flaggs, Lincoln Street"
,,E2991,unknown,53.132609440237644,unknown,-0.14653049701725224,FULSBY LOCK R BAIN GS
,,26116,unknown,,unknown,,Ensdon ABH
,,SU48_72B,unknown,,unknown,,HODCOTT 2 OBH
,,SP90_64,unknown,,unknown,,ASHLEY GREEN OBH
,,SE67ENOLC0,unknown,,unknown,,East Ness Hall Obs
,,26113,unknown,,unknown,,Nib Heath ABH
,,48196,unknown,50.083779950729024,unknown,-5.291912566806336,LOE BAR
,,43187,unknown,,unknown,,DOWNTON MEMORIAL GARDENS
,,SE95WWOLCC,unknown,,unknown,,Wetwang
,,2850,unknown,,unknown,,Pim Hill ABH
,,2851,unknown,,unknown,,Smethcote ABH
,,26103,unknown,,unknown,,Green Lane ABH
,,43184,unknown,,unknown,,GREAT DURNFORD GW
,,E3053,unknown,52.97887346540979,unknown,-0.6074072722300973,HONINGTON BECK GS
,,E13190,unknown,,unknown,,OAKLEY GWL
,,26101,unknown,,unknown,,Hopton ABH
,,43186,unknown,,unknown,,DOWNTON FISHERMANS STILE
,,26102,unknown,,unknown,,Lodgebank SGS No.1
,,43185,unknown,,unknown,,DOWN BARN GW
,,SE94DEWLCC,unknown,,unknown,,Dalton Estates
,,L2225,unknown,54.1492450035346,unknown,-1.5704952624232547,Ripon Birkby Nab
,,43175,unknown,,unknown,,BERWICK ST JOHN GW
,,2891E,unknown,,unknown,,Espley Farm ABH
,,26141,unknown,,unknown,,Knolls ABH
,,43181,unknown,,unknown,,CHESCOMBE FARM GW
,,SP62_1,unknown,,unknown,,Fringford PS OBH
,,2896,unknown,,unknown,,Painsbrook ABH
,,531182,unknown,,unknown,,DIDMARTON BORE HOLES
,,SU89_82,unknown,,unknown,,RAY FARM
,,E14150,unknown,,unknown,,LOPCOMBE CORNER GWL
,,45175_,unknown,,unknown,,BUSSELLS 7A BH
,,2858TH,unknown,51.52362211443402,unknown,-0.4892869690346621,Huntsmoor Weir
,,2877,unknown,,unknown,,Shawbury Park ABH
,,E9190,unknown,,unknown,,WHITELOT BOTTOM GWL
,,E13740,unknown,,unknown,,KINGS SOMBOURNE GWL
,,E24834,unknown,52.569663591107684,unknown,1.104711394693863,WYMONDHAM SOUTH GS
,,E27454,unknown,53.56446127487385,unknown,-0.12700630338904031,GRIMSBY GREAT COATES BRIDGE GS
,,E22870,unknown,51.736424205012426,unknown,0.4794165301568667,SPRINGFIELD FGS AND RAINGAUGE
,,2868TH,unknown,51.46710652037984,unknown,-0.4997922196869729,Stanwell Gate 1 (Lake Offtake)
,,45176,unknown,,unknown,,LIME KILN WAY
,,E1685,unknown,53.132609440237644,unknown,-0.14653049701725224,FULSBY LOCK R BAIN GS
,,43192,unknown,,unknown,,IWERNE HILL FARM GW
,,45177,unknown,,unknown,,OTTERTON 2 BH
,,5484TH,unknown,51.52638971314285,unknown,0.09177333413825131,Loxford Sluices FD
,,E21803,unknown,,unknown,,HOLLAND HALL BOREHOLE ROYSTON OLD
,,E1957,unknown,52.75356864690203,unknown,-0.2900971022223406,BOURNE EAU PS
